"模型ID","计费单元","说明","标价(元)","单位"
"BAAI/bge-large-zh-v1.5","免费产品","输入 - 默认","0","百万 Token"
"BAAI/bge-large-zh-v1.5","免费产品","文本输出 - 默认","0","百万 Token"
"BAAI/bge-m3","免费产品","输入 - 默认","0","百万 Token"
"BAAI/bge-m3","免费产品","文本输出 - 默认","0","百万 Token"
"ByteDance/doubao-1-5-pro-32k-250115","doubao-1.5-pro-32k-input","输入 - 默认","0.8","百万 Token"
"ByteDance/doubao-1-5-pro-32k-250115","doubao-1.5-pro-32k_text_cache read_standard","缓存 - 默认","0.16","百万 Token"
"ByteDance/doubao-1-5-pro-32k-250115","doubao-1.5-pro-32k-output","文本输出 - 默认","2","百万 Token"
"ByteDance/doubao-seed-1.6","doubao-seed-1-6-input","输入 - 默认","0.8","百万 Token"
"ByteDance/doubao-seed-1.6","doubao-seed-1-6-output","文本输出 - 默认","2","百万 Token"
"IndexTeam/IndexTTS-2","IndexTeam/IndexTTS-2_input","输入 - 默认","40","百万 Token"
"IndexTeam/IndexTTS-2","免费产品","文本输出 - 默认","0","百万 Token"
"MiniMax-Hailuo-02","MiniMax-Hailuo-02_I2V_1080P_6s","视频时长 - 1080p 且 duration=6","0.5833333334","秒"
"MiniMax-Hailuo-02","MiniMax-Hailuo-02_I2V_768P_6s","视频时长 - 768p 且 duration=6","0.3333333334","秒"
"MiniMax-Hailuo-2.3","minimax-hailuo-2.3-t2v_output_video_6S_1080P","视频时长 - 1080p 且 duration=6","0.5833333334","秒"
"MiniMax-Hailuo-2.3","minimax-hailuo-2.3-t2v_output_video_6S_768P","视频时长 - 768p 且 duration=6","0.3333333334","秒"
"MiniMax-Hailuo-2.3-Fast","MiniMax-Hailuo-2.3-Fast_I2V_1080P_6s","视频时长 - 1080p 且 duration=6","0.385","秒"
"MiniMax-Hailuo-2.3-Fast","MiniMax-Hailuo-2.3-Fast_I2V_768P_6s","视频时长 - 768p 且 duration=6","0.225","秒"
"MiniMax-M2","MiniMax-M2_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2","MiniMax-M2_output","文本输出 - 默认","8.4","百万 Token"
"MiniMax-M2","MiniMax-M2_text_cache read_standard","缓存读取 - 默认","0.21","百万 Token"
"MiniMax-M2","MiniMax-M2_text_cache write_standard","缓存写入 (5m) - 默认","2.625","百万 Token"
"MiniMax-M2.1","MiniMax-M2.1_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2.1","MiniMax-M2.1_output","文本输出 - 默认","8.4","百万 Token"
"MiniMax-M2.1","MiniMax-M2.1_text_cache read_standard","缓存读取 - 默认","0.21","百万 Token"
"MiniMax-M2.1","MiniMax-M2.1_text_cache write_standard","缓存写入 (5m) - 默认","2.625","百万 Token"
"MiniMax-M2.1-lightning","MiniMax-M2.1-lightning_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2.1-lightning","MiniMax-M2.1-lightning_output","文本输出 - 默认","16.8","百万 Token"
"MiniMax-M2.1-lightning","MiniMax-M2.1-lightning_text_cache read_standard","缓存读取 - 默认","0.21","百万 Token"
"MiniMax-M2.1-lightning","MiniMax-M2.1-lightning_text_cache write_standard","缓存写入 (5m) - 默认","2.625","百万 Token"
"MiniMax-M2.5","MiniMax-M2.5_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2.5","MiniMax-M2.5_output","文本输出 - 默认","8.4","百万 Token"
"MiniMax-M2.5","MiniMax-M2.5_cache read","缓存读取 - 默认","0.21","百万 Token"
"MiniMax-M2.5","MiniMax-M2.5_cache write","缓存写入 (5m) - 默认","2.625","百万 Token"
"MiniMax-M2.5-lightning","MiniMax-M2.5-lightning_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2.5-lightning","MiniMax-M2.5-lightning_output","文本输出 - 默认","16.8","百万 Token"
"MiniMax-M2.7","MiniMax-M2.7_input","输入 - 默认","2.1","百万 Token"
"MiniMax-M2.7","MiniMax-M2.7_output","文本输出 - 默认","8.4","百万 Token"
"MiniMax-M2.7","MiniMax-M2.7_cache read","缓存读取 - 默认","0.42","百万 Token"
"MiniMax-M2.7","MiniMax-M2.7_cache write","缓存写入 (5m) - 默认","2.625","百万 Token"
"MiniMax-M2.7-highspeed","MiniMax-M2.7-highspeed_input","输入 - 默认","4.2","百万 Token"
"MiniMax-M2.7-highspeed","MiniMax-M2.7-highspeed_output","文本输出 - 默认","16.8","百万 Token"
"MiniMax-M2.7-highspeed","MiniMax-M2.7-highspeed_cache read","缓存读取 - 默认","0.42","百万 Token"
"MiniMax-M2.7-highspeed","MiniMax-M2.7-highspeed_cache write","缓存写入 (5m) - 默认","2.625","百万 Token"
"MiniMax-M3","MiniMax-M3_standard_≤512K_input","输入 - 输入长度(0, 512K]","4.2","百万 Token"
"MiniMax-M3","MiniMax-M3_standard_≤512K_catch read","缓存 - 输入长度(0, 512K]","0.84","百万 Token"
"MiniMax-M3","MiniMax-M3_standard_≤512K_output","文本输出 - 输入长度(0, 512K]","16.8","百万 Token"
"MiniMax-M3","MiniMax-M3_standard_>512K_input","输入 - 输入长度(512K, 1M]","8.4","百万 Token"
"MiniMax-M3","MiniMax-M3_standard_>512K_catch read","缓存 - 输入长度(512K, 1M]","1.68","百万 Token"
"MiniMax-M3","MiniMax-M3_standard_>512K_output","文本输出 - 输入长度(512K, 1M]","33.6","百万 Token"
"Qwen/QwQ-32B","qwq_input","输入 - 默认","2","百万 Token"
"Qwen/QwQ-32B","qwq_output","文本输出 - 默认","6","百万 Token"
"Qwen/Qwen-Image","Qwen-Image","图片数量 - 默认","0.25","张"
"Qwen/Qwen-Image-Edit","Qwen-image-edit","图片数量 - 默认","0.3","张"
"Qwen/Qwen3-30B-A3B-Thinking","Qwen3-30B-A3B-Thinking-2507-input","输入 - 默认","0.75","百万 Token"
"Qwen/Qwen3-30B-A3B-Thinking","Qwen3-30B-A3B-Thinking-2507-output","文本输出 - 默认","7.5","百万 Token"
"Qwen/Qwen3-Coder","Qwen3-Coder-32k-input","输入 - 输入长度(0, 32K]","6","百万 Token"
"Qwen/Qwen3-Coder","Qwen3-Coder-32k-output","文本输出 - 输入长度(0, 32K]","24","百万 Token"
"Qwen/Qwen3-Coder","Qwen3-Coder-128k-input","输入 - 输入长度(32K, 128K]","9","百万 Token"
"Qwen/Qwen3-Coder","Qwen3-Coder-128k-output","文本输出 - 输入长度(32K, 128K]","36","百万 Token"
"Qwen/Qwen3-Coder","Qwen3-Coder-256k-input","输入 - 输入长度(128K, 256K]","15","百万 Token"
"Qwen/Qwen3-Coder","Qwen3-Coder-256k-output","文本输出 - 输入长度(128K, 256K]","60","百万 Token"
"Qwen/Qwen3-Max","qwen3-max-input-32k","输入 - 输入长度(0, 32K]","2.5","百万 Token"
"Qwen/Qwen3-Max","qwen3-max-output-32k","文本输出 - 输入长度(0, 32K]","10","百万 Token"
"Qwen/Qwen3-Max","qwen3-max-input-128k","输入 - 输入长度(32K, 128K]","4","百万 Token"
"Qwen/Qwen3-Max","qwen3-max-output-128k","文本输出 - 输入长度(32K, 128K]","16","百万 Token"
"Qwen/Qwen3-Max","qwen3-max-input-252k","输入 - 输入长度(128K, 252K]","7","百万 Token"
"Qwen/Qwen3-Max","qwen3-max-output-252k","文本输出 - 输入长度(128K, 252K]","28","百万 Token"
"Qwen/Qwen3-VL-235B-A22B-Instruct","Qwen3-VL-235B-A22B-Instruct-input","输入 - 默认","2","百万 Token"
"Qwen/Qwen3-VL-235B-A22B-Instruct","Qwen3-VL-235B-A22B-Instruct-output","文本输出 - 默认","8","百万 Token"
"Qwen/Qwen3-vl-Plus","qwen3-vl-plus-32k-input","输入 - 输入长度(0, 32K]","1","百万 Token"
"Qwen/Qwen3-vl-Plus","qwen3-vl-plus-32k-output","文本输出 - 输入长度(0, 32K]","10","百万 Token"
"Qwen/Qwen3-vl-Plus","qwen3-vl-plus-128k-input","输入 - 输入长度(32K, 128K]","1.5","百万 Token"
"Qwen/Qwen3-vl-Plus","qwen3-vl-plus-128k-output","文本输出 - 输入长度(32K, 128K]","15","百万 Token"
"Qwen/Qwen3-vl-Plus","qwen3-vl-plus-256k-input","输入 - 输入长度(128K, 256K]","3","百万 Token"
"Qwen/Qwen3-vl-Plus","qwen3-vl-plus-256k-output","文本输出 - 输入长度(128K, 256K]","30","百万 Token"
"Wan-AI/Wan2.5-I2V","alibaba/wan-2.5/image-to-video-1080p","视频时长 - 1080p","1.095","秒"
"Wan-AI/Wan2.5-I2V","alibaba/wan-2.5/image-to-video-480p","视频时长 - 480p","0.365","秒"
"Wan-AI/Wan2.5-I2V","alibaba/wan-2.5/image-to-video-720p","视频时长 - 720p","0.73","秒"
"Wan-AI/Wan2.5-T2V","alibaba/wan-2.5/text-to-video-1080p","视频时长 - 1080p","1.095","秒"
"Wan-AI/Wan2.5-T2V","alibaba/wan-2.5/text-to-video-480p","视频时长 - 480p","0.365","秒"
"Wan-AI/Wan2.5-T2V","alibaba/wan-2.5/text-to-video-720p","视频时长 - 720p","0.73","秒"
"Wan-AI/Wan2.6-I2V","wan2.6-i2v_1080P","视频时长 - 1080p","1","秒"
"Wan-AI/Wan2.6-I2V","wan2.6-i2v_720P","视频时长 - 720p","0.6","秒"
"Wan-AI/Wan2.6-T2V","wan2.6-t2v_1080P","视频时长 - 1080p","1","秒"
"Wan-AI/Wan2.6-T2V","wan2.6-t2v_720P","视频时长 - 720p","0.6","秒"
"auto","免费产品","输入 - 默认","0","百万 Token"
"auto","免费产品","文本输出 - 默认","0","百万 Token"
"baidu/ernie-4.5-turbo-128k","ERNIE-4.5-Turbo-128K-input","输入 - 默认","0.8","百万 Token"
"baidu/ernie-4.5-turbo-128k","ERNIE-4.5-Turbo-128K_text_cache read_standard","缓存 - 默认","0.2","百万 Token"
"baidu/ernie-4.5-turbo-128k","ERNIE-4.5-Turbo-128K-output","文本输出 - 默认","3.2","百万 Token"
"baidu/ernie-4.5-turbo-vl-32k","ERNIE-4.5-Turbo-VL-32K-input","输入 - 默认","3","百万 Token"
"baidu/ernie-4.5-turbo-vl-32k","ERNIE-4.5-Turbo-VL-32K-output","文本输出 - 默认","9","百万 Token"
"bge-reranker-v2-m3","免费产品","输入 - 默认","0","百万 Token"
"bge-reranker-v2-m3","免费产品","文本输出 - 默认","0","百万 Token"
"deepseek-ai/DeepSeek-OCR","deepseek-ai/DeepSeek-OCR_free","输入 - 默认","0","百万 Token"
"deepseek-ai/DeepSeek-OCR","deepseek-ai/DeepSeek-OCR_free","文本输出 - 默认","0","百万 Token"
"deepseek-ai/DeepSeek-OCR-2","deepseek-ai/DeepSeek-OCR_free","输入 - 默认","0","百万 Token"
"deepseek-ai/DeepSeek-OCR-2","deepseek-ai/DeepSeek-OCR_free","文本输出 - 默认","0","百万 Token"
"deepseek-ai/DeepSeek-V3.2","DeepSeek-V3.2-input","输入 - 默认","2","百万 Token"
"deepseek-ai/DeepSeek-V3.2","deepseek-v3.2_cached input","缓存 - 默认","0.4","百万 Token"
"deepseek-ai/DeepSeek-V3.2","DeepSeek-V3.2-output","文本输出 - 默认","3","百万 Token"
"deepseek-ai/DeepSeek-V3.2-Exp","deepseek-v3.2-exp-input","输入 - 默认","2","百万 Token"
"deepseek-ai/DeepSeek-V3.2-Exp","deepseek-v3.2-exp-output","文本输出 - 默认","3","百万 Token"
"deepseek-v4-flash","deepseek-v4-flash_input","输入 - 默认","1","百万 Token"
"deepseek-v4-flash","deepseek-v4-flash_cache read","缓存 - 默认","0.02","百万 Token"
"deepseek-v4-flash","deepseek-v4-flash_output","文本输出 - 默认","2","百万 Token"
"deepseek-v4-pro","deepseek-v4-pro_input","输入 - 默认","12","百万 Token"
"deepseek-v4-pro","deepseek-v4-pro_cache read","缓存 - 默认","1","百万 Token"
"deepseek-v4-pro","deepseek-v4-pro_output","文本输出 - 默认","24","百万 Token"
"doubao-1-5-pro-32k-character-250715","doubao-1-5-pro-32k-character-250715_input","输入 - 默认","0.8","百万 Token"
"doubao-1-5-pro-32k-character-250715","doubao-1-5-pro-32k-character-250715_cache hit","缓存 - 默认","0.16","百万 Token"
"doubao-1-5-pro-32k-character-250715","doubao-1-5-pro-32k-character-250715_output","文本输出 - 默认","2","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_input≤32K&output≤200K_input","输入 - 输入长度(0, 32K] 且 输出长度(0, 200K]","0.8","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_text&image&video_cache read_standard_input≤32k&output≤0.2k","缓存 - 输入长度(0, 32K] 且 输出长度(0, 200K]","0.06","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_input≤32K&output≤200K_output","文本输出 - 输入长度(0, 32K] 且 输出长度(0, 200K]","2","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_input≤32K&output＞200K_input","输入 - 输入长度(0, 32K] 且 输出长度(200K, 2M]","0.8","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_text&image&video_cache read_standard_input≤32k&output＞0.2k","缓存 - 输入长度(0, 32K] 且 输出长度(200K, 2M]","0.06","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_input≤32K&output＞200K_output","文本输出 - 输入长度(0, 32K] 且 输出长度(200K, 2M]","8","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_32K＜input≤128K_input","输入 - 输入长度(32K, 128K] 且 输出长度(0, 200K]","1.2","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_text&image&video_cache read_standard_32k<input≤128k","缓存 - 输入长度(32K, 128K] 且 输出长度(0, 200K]","0.06","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_32K＜input≤128K_output","文本输出 - 输入长度(32K, 128K] 且 输出长度(0, 200K]","16","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_32K＜input≤128K_input","输入 - 输入长度(32K, 128K] 且 输出长度(200K, 2M]","1.2","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_text&image&video_cache read_standard_32k<input≤128k","缓存 - 输入长度(32K, 128K] 且 输出长度(200K, 2M]","0.06","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_32K＜input≤128K_output","文本输出 - 输入长度(32K, 128K] 且 输出长度(200K, 2M]","16","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_128K＜input_input","输入 - 输入长度(128K, 2M] 且 输出长度(0, 200K]","2.4","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_text&image&video_cache read_standard_128k<input≤256k","缓存 - 输入长度(128K, 2M] 且 输出长度(0, 200K]","0.06","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_128K＜input_output","文本输出 - 输入长度(128K, 2M] 且 输出长度(0, 200K]","24","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_128K＜input_input","输入 - 输入长度(128K, 2M] 且 输出长度(200K, 2M]","2.4","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_text&image&video_cache read_standard_128k<input≤256k","缓存 - 输入长度(128K, 2M] 且 输出长度(200K, 2M]","0.06","百万 Token"
"doubao-seed-1-6-lite-251015","doubao-seed-1-6-lite-251015_128K＜input_output","文本输出 - 输入长度(128K, 2M] 且 输出长度(200K, 2M]","24","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_input_[0, 32K]","输入 - 输入长度(0, 32K]","3.2","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_text&image&video_cache read_standard_input≤32k","缓存 - 输入长度(0, 32K]","0.64","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_output_[0, 32K]","文本输出 - 输入长度(0, 32K]","16","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_input_ (32, 128]","输入 - 输入长度(32K, 128K]","4.8","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_text&image&video_cache read_standard_32k<input≤128k","缓存 - 输入长度(32K, 128K]","0.96","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_output_ (32, 128]","文本输出 - 输入长度(32K, 128K]","24","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_input_(128, 256]","输入 - 输入长度(128K, 256K]","9.6","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_text&image&video_cache read_standard_128k<input≤256k","缓存 - 输入长度(128K, 256K]","1.92","百万 Token"
"doubao-seed-2-0-code-preview-260215","doubao-seed-2.0-code_output_(128, 256]","文本输出 - 输入长度(128K, 256K]","48","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_input_[0, 32K]","输入 - 输入长度(0, 32K]","0.6","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_output_[0, 32K]","文本输出 - 输入长度(0, 32K]","3.6","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_input≤32k","缓存读取 - 输入长度(0, 32K]","0.12","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_input≤32k","图像缓存读取 - 输入长度(0, 32K]","0.12","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_input≤32k","视频缓存读取 - 输入长度(0, 32K]","0.12","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_audio_cache read_standard_input≤32k","音频缓存读取 - 输入长度(0, 32K]","1.8","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_input_(128, 256]","输入 - 输入长度(32K, 128K]","1.8","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_output_(128, 256]","文本输出 - 输入长度(32K, 128K]","10.8","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_32k<input≤128k","缓存读取 - 输入长度(32K, 128K]","0.18","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_32k<input≤128k","图像缓存读取 - 输入长度(32K, 128K]","0.18","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_32k<input≤128k","视频缓存读取 - 输入长度(32K, 128K]","0.18","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_audio_cache read_standard_32k<input≤128k","音频缓存读取 - 输入长度(32K, 128K]","2.7","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_input_(128, 256]","输入 - 输入长度(128K, 256K]","1.8","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_output_(128, 256]","文本输出 - 输入长度(128K, 256K]","10.8","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_128k<input≤256k","缓存读取 - 输入长度(128K, 256K]","0.36","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_128k<input≤256k","图像缓存读取 - 输入长度(128K, 256K]","0.36","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_text&image&video_cache read_standard_128k<input≤256k","视频缓存读取 - 输入长度(128K, 256K]","0.36","百万 Token"
"doubao-seed-2-0-lite-260215","doubao-seed-2.0-lite_audio_cache read_standard_128k<input≤256k","音频缓存读取 - 输入长度(128K, 256K]","5.4","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_input_[0, 32K]","输入 - 输入长度(0, 32K]","0.2","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_output_[0, 32K]","文本输出 - 输入长度(0, 32K]","2","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_input≤32k","缓存读取 - 输入长度(0, 32K]","0.04","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_input≤32k","图像缓存读取 - 输入长度(0, 32K]","0.04","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_input≤32k","视频缓存读取 - 输入长度(0, 32K]","0.04","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_audio_cache read_standard_input≤32k","音频缓存读取 - 输入长度(0, 32K]","0.6","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_input_(128, 256]","输入 - 输入长度(32K, 128K]","0.8","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_output_(128, 256]","文本输出 - 输入长度(32K, 128K]","8","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_32k<input≤128k","缓存读取 - 输入长度(32K, 128K]","0.08","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_32k<input≤128k","图像缓存读取 - 输入长度(32K, 128K]","0.08","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_32k<input≤128k","视频缓存读取 - 输入长度(32K, 128K]","0.08","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_audio_cache read_standard_32k<input≤128k","音频缓存读取 - 输入长度(32K, 128K]","1.2","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_input_(128, 256]","输入 - 输入长度(128K, 256K]","0.8","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_output_(128, 256]","文本输出 - 输入长度(128K, 256K]","8","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_128k<input≤256k","缓存读取 - 输入长度(128K, 256K]","0.16","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_128k<input≤256k","图像缓存读取 - 输入长度(128K, 256K]","0.16","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_text&image&video_cache read_standard_128k<input≤256k","视频缓存读取 - 输入长度(128K, 256K]","0.16","百万 Token"
"doubao-seed-2-0-mini-260215","doubao-seed-2.0-mini_audio_cache read_standard_128k<input≤256k","音频缓存读取 - 输入长度(128K, 256K]","2.4","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_input_[0, 32K]","输入 - 输入长度(0, 32K]","3.2","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_text&image&video_cache read_standard_input≤32k","缓存 - 输入长度(0, 32K]","0.64","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_output_[0, 32K]","文本输出 - 输入长度(0, 32K]","16","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_input_(128, 256]","输入 - 输入长度(32K, 128K]","9.6","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_text&image&video_cache read_standard_32k<input≤128k","缓存 - 输入长度(32K, 128K]","0.96","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_output_(128, 256]","文本输出 - 输入长度(32K, 128K]","48","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_input_(128, 256]","输入 - 输入长度(128K, 256K]","9.6","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_text&image&video_cache read_standard_128k<input≤256k","缓存 - 输入长度(128K, 256K]","1.92","百万 Token"
"doubao-seed-2-0-pro-260215","doubao-seed-2.0-pro_output_(128, 256]","文本输出 - 输入长度(128K, 256K]","48","百万 Token"
"doubao-seed-2-1-pro-260628","doubao-seed-2-1-pro-260628_input_standard","输入 - 默认","6","百万 Token"
"doubao-seed-2-1-pro-260628","doubao-seed-2-1-pro-260628_cache read_standard","缓存 - 默认","1.2","百万 Token"
"doubao-seed-2-1-pro-260628","doubao-seed-2-1-pro-260628_output_standard","文本输出 - 默认","30","百万 Token"
"doubao-seed-2-1-turbo-260628","doubao-seed-2-1-turbo-260628_input_standard","输入 - 默认","3","百万 Token"
"doubao-seed-2-1-turbo-260628","doubao-seed-2-1-turbo-260628_cache read_standard","缓存 - 默认","0.6","百万 Token"
"doubao-seed-2-1-turbo-260628","doubao-seed-2-1-turbo-260628_output_standard","文本输出 - 默认","15","百万 Token"
"doubao-seed-evolving","doubao-seed-evolving_input_standard","输入 - 默认","6","百万 Token"
"doubao-seed-evolving","doubao-seed-evolving_cache read_standard","缓存 - 默认","1.2","百万 Token"
"doubao-seed-evolving","doubao-seed-evolving_output_standard","文本输出 - 默认","30","百万 Token"
"doubao-seedream-4.5","doubao-seedream-4-5-251128_output_image","图片数量 - 默认","0.25","张"
"doubao-seedream-5-0-260128","doubao-seedream-5-0-260128_image_output","图片数量 - 默认","0.22","张"
"doubao-seedream-5-0-pro-260628","doubao-seedream-5-0-pro-260628_image_input_standard","图片数量 - dimension=<=2.36MP","0.02","张"
"doubao-seedream-5-0-pro-260628","doubao-seedream-5-0-pro-260628_image_output_standard_Image ≤ 2.36MP","图片数量 - dimension=<=2.36MP","0.3","张"
"doubao-seedream-5-0-pro-260628","doubao-seedream-5-0-pro-260628_image_input_standard","图片数量 - dimension=>2.36MP","0.02","张"
"doubao-seedream-5-0-pro-260628","doubao-seedream-5-0-pro-260628_image_output_standard_Image> 2.36MP","图片数量 - dimension=>2.36MP","0.6","张"
"easydoc-emr-mask","emr-mask_input_page","页数 - 默认","0.6","页"
"easydoc-extract","easydoc-extract_input_page","页数 - 默认","0.3","页"
"easydoc-fin-chat","fin-chat_input","输入 - 默认","10","百万 Token"
"easydoc-fin-chat","fin-chat_output","文本输出 - 默认","90","百万 Token"
"easydoc-parse-premium","easydoc-parse-premium_input_page","页数 - 默认","0.22","页"
"gemini-3.1-flash-lite-image","gemini-3.1-flash-lite-image_text&image_input_standard","输入 - 默认","1.8","百万 Token"
"gemini-3.1-flash-lite-image","gemini-3.1-flash-lite-image_text_output_standard","文本输出 - 默认","10.8","百万 Token"
"gemini-3.1-flash-lite-image","gemini-3.1-flash-lite-image_image_output_standard","音频输出 - 默认","216","百万 Token"
"gemini-3.1-flash-lite-image","gemini-3.1-flash-lite-image_image_output_standard","图像输出 - 默认","216","百万 Token"
"glm-5-turbo","glm-5-turbo_[0, 32)_input","输入 - 输入长度(0, 32K]","5","百万 Token"
"glm-5-turbo","glm-5-turbo_[0, 32)_cached","缓存 - 输入长度(0, 32K]","1.2","百万 Token"
"glm-5-turbo","glm-5-turbo_[0, 32)_output","文本输出 - 输入长度(0, 32K]","22","百万 Token"
"glm-5-turbo","glm-5-turbo_[32+)_input","输入 - 输入长度(32K, 200K]","7","百万 Token"
"glm-5-turbo","glm-5-turbo_[32+)_cached","缓存 - 输入长度(32K, 200K]","1.8","百万 Token"
"glm-5-turbo","glm-5-turbo_[32+)_output","文本输出 - 输入长度(32K, 200K]","26","百万 Token"
"glm-5.1","glm-5.1_[0, 32)_input","输入 - 输入长度(0, 32K]","6","百万 Token"
"glm-5.1","glm-5.1_[0, 32)_output","文本输出 - 输入长度(0, 32K]","24","百万 Token"
"glm-5.1","glm-5.1_[0, 32)_cache","缓存读取 - 输入长度(0, 32K]","1.3","百万 Token"
"glm-5.1","glm-5.1_[0, 32)_Cache Writes","缓存写入 (5m) - 输入长度(0, 32K]","0","百万 Token"
